Fecha y hora del ciclo Pomodoro:
Y-m-d Fuera del horario laboral. Ciclo Pomodoro pausado.
2025-07-15 Trabajando..., vas 0 minutos
2025-07-15 21:12:04 ¡Hora de descansar!, vas 4 minutos
2025-07-15 21:13:04 Trabajando..., vas 0 minutos
2025-07-15 21:14:04 Trabajando..., vas 1 minutos
2025-07-15 21:15:04 Trabajando..., vas 2 minutos
2025-07-15 21:16:04 Trabajando..., vas 3 minutos
2025-07-15 21:17:04 Trabajando..., vas 4 minutos
2025-07-15 21:18:04 Trabajando..., vas 5 minutos
2025-07-15 21:19:04 Trabajando..., vas 6 minutos
2025-07-15 21:20:05 Trabajando..., vas 7 minutos
2025-07-15 21:21:05 Trabajando..., vas 8 minutos
2025-07-15 21:22:05 Trabajando..., vas 9 minutos
2025-07-15 21:23:05 Trabajando..., vas 10 minutos
2025-07-15 21:24:05 Trabajando..., vas 11 minutos
2025-07-15 21:25:05 Trabajando..., vas 12 minutos
2025-07-15 21:26:05 Trabajando..., vas 13 minutos
2025-07-15 21:27:05 Trabajando..., vas 14 minutos
2025-07-15 21:28:05 Trabajando..., vas 15 minutos
2025-07-15 21:29:05 Trabajando..., vas 16 minutos
2025-07-15 21:30:05 Trabajando..., vas 17 minutos
2025-07-15 21:31:05 Trabajando..., vas 18 minutos
2025-07-15 21:32:05 Trabajando..., vas 19 minutos
2025-07-15 21:33:05 Trabajando..., vas 20 minutos
2025-07-15 21:34:05 Trabajando..., vas 21 minutos
2025-07-15 21:35:05 Trabajando..., vas 22 minutos
2025-07-15 21:36:05 Trabajando..., vas 23 minutos
2025-07-15 21:37:05 Trabajando..., vas 24 minutos
2025-07-15 21:38:05 ¡Hora de descansar!, vas 0 minutos
2025-07-15 21:39:05 ¡Hora de descansar!, vas 1 minutos
2025-07-15 21:40:05 ¡Hora de descansar!, vas 2 minutos
2025-07-15 21:41:05 ¡Hora de descansar!, vas 3 minutos
2025-07-15 21:42:05 ¡Hora de descansar!, vas 4 minutos
2025-07-15 21:43:05 Trabajando..., vas 0 minutos
2025-07-15 21:44:05 Trabajando..., vas 1 minutos
2025-07-15 21:45:05 Trabajando..., vas 2 minutos
2025-07-15 21:46:05 Trabajando..., vas 3 minutos
2025-07-15 21:47:05 Trabajando..., vas 4 minutos
2025-07-15 21:48:05 Trabajando..., vas 5 minutos
2025-07-15 21:49:05 Trabajando..., vas 6 minutos
2025-07-15 21:50:05 Trabajando..., vas 7 minutos
2025-07-15 21:51:05 Trabajando..., vas 8 minutos
2025-07-15 21:52:05 Trabajando..., vas 9 minutos
2025-07-15 21:53:05 Trabajando..., vas 10 minutos
2025-07-15 21:54:05 Trabajando..., vas 11 minutos
2025-07-15 21:55:05 Trabajando..., vas 12 minutos
2025-07-15 21:56:05 Trabajando..., vas 13 minutos
2025-07-15 21:57:05 Trabajando..., vas 14 minutos
2025-07-15 21:58:05 Trabajando..., vas 15 minutos
2025-07-15 21:59:06 Trabajando..., vas 16 minutos
2025-07-15 22:00:06 Trabajando..., vas 17 minutos
2025-07-15 22:01:06 Trabajando..., vas 18 minutos
2025-07-15 22:02:06 Trabajando..., vas 19 minutos
2025-07-15 22:03:06 Trabajando..., vas 20 minutos
2025-07-15 22:04:06 Trabajando..., vas 21 minutos
2025-07-15 22:05:06 Trabajando..., vas 22 minutos
2025-07-15 22:06:06 Trabajando..., vas 23 minutos
2025-07-15 22:07:06 Trabajando..., vas 24 minutos
2025-07-15 22:08:06 ¡Hora de descansar!, vas 0 minutos
2025-07-15 22:09:06 ¡Hora de descansar!, vas 1 minutos
2025-07-15 22:10:06 ¡Hora de descansar!, vas 2 minutos
2025-07-15 22:11:06 ¡Hora de descansar!, vas 3 minutos
2025-07-15 22:12:06 ¡Hora de descansar!, vas 4 minutos
2025-07-15 22:13:06 Trabajando..., vas 0 minutos
2025-07-15 22:14:06 Trabajando..., vas 1 minutos
2025-07-15 22:15:06 Trabajando..., vas 2 minutos
2025-07-15 22:16:06 Trabajando..., vas 3 minutos
2025-07-15 22:17:06 Trabajando..., vas 4 minutos
2025-07-15 22:18:06 Trabajando..., vas 5 minutos
2025-07-15 22:19:06 Trabajando..., vas 6 minutos
2025-07-15 22:20:06 Trabajando..., vas 7 minutos
2025-07-15 22:21:06 Trabajando..., vas 8 minutos
2025-07-15 22:22:06 Trabajando..., vas 9 minutos
2025-07-15 22:23:06 Trabajando..., vas 10 minutos
2025-07-15 22:24:06 Trabajando..., vas 11 minutos
2025-07-15 22:25:06 Trabajando..., vas 12 minutos
2025-07-15 22:26:06 Trabajando..., vas 13 minutos
2025-07-15 22:27:06 Trabajando..., vas 14 minutos
2025-07-15 22:28:06 Trabajando..., vas 15 minutos
2025-07-15 22:29:06 Trabajando..., vas 16 minutos
2025-07-15 22:30:06 Trabajando..., vas 17 minutos
2025-07-15 22:31:06 Trabajando..., vas 18 minutos
2025-07-15 22:32:06 Trabajando..., vas 19 minutos
2025-07-15 22:33:06 Trabajando..., vas 20 minutos
2025-07-15 22:34:06 Trabajando..., vas 21 minutos
2025-07-15 22:35:06 Trabajando..., vas 22 minutos
2025-07-15 22:36:06 Trabajando..., vas 23 minutos
2025-07-15 22:37:06 Trabajando..., vas 24 minutos
2025-07-15 22:38:06 ¡Hora de descansar!, vas 0 minutos
2025-07-15 22:39:06 ¡Hora de descansar!, vas 1 minutos
2025-07-15 22:40:07 ¡Hora de descansar!, vas 2 minutos
2025-07-15 22:41:07 ¡Hora de descansar!, vas 3 minutos
2025-07-15 22:42:07 ¡Hora de descansar!, vas 4 minutos
2025-07-15 22:43:07 Trabajando..., vas 0 minutos
2025-07-15 22:44:07 Trabajando..., vas 1 minutos
2025-07-15 22:45:07 Trabajando..., vas 2 minutos
2025-07-15 22:46:07 Trabajando..., vas 3 minutos
2025-07-15 22:47:07 Trabajando..., vas 4 minutos
2025-07-15 22:48:07 Trabajando..., vas 5 minutos
2025-07-15 22:49:07 Trabajando..., vas 6 minutos
2025-07-15 22:50:07 Trabajando..., vas 7 minutos
2025-07-15 22:51:07 Trabajando..., vas 8 minutos
2025-07-15 22:52:07 Trabajando..., vas 9 minutos
2025-07-15 22:53:07 Trabajando..., vas 10 minutos
2025-07-15 22:54:07 Trabajando..., vas 11 minutos
2025-07-15 22:55:07 Trabajando..., vas 12 minutos
2025-07-15 22:56:07 Trabajando..., vas 13 minutos
2025-07-15 22:57:07 Trabajando..., vas 14 minutos
2025-07-15 22:58:07 Trabajando..., vas 15 minutos
2025-07-15 22:59:07 Trabajando..., vas 16 minutos
2025-07-15 23:00:07 Trabajando..., vas 17 minutos
2025-07-15 23:01:07 Trabajando..., vas 18 minutos
2025-07-15 23:02:07 Trabajando..., vas 19 minutos
2025-07-15 23:03:07 Trabajando..., vas 20 minutos
2025-07-15 23:04:07 Trabajando..., vas 21 minutos
2025-07-15 23:05:07 Trabajando..., vas 22 minutos
2025-07-15 23:06:07 Trabajando..., vas 23 minutos
2025-07-15 23:07:07 Trabajando..., vas 24 minutos
2025-07-15 23:08:07 ¡Hora de descansar!, vas 0 minutos
2025-07-15 23:09:07 ¡Hora de descansar!, vas 1 minutos
2025-07-15 23:10:07 ¡Hora de descansar!, vas 2 minutos
2025-07-15 23:11:07 ¡Hora de descansar!, vas 3 minutos
2025-07-15 23:12:07 ¡Hora de descansar!, vas 4 minutos
2025-07-15 23:13:07 Trabajando..., vas 0 minutos
2025-07-15 23:14:07 Trabajando..., vas 1 minutos
2025-07-15 23:15:07 Trabajando..., vas 2 minutos
2025-07-15 23:16:07 Trabajando..., vas 3 minutos
2025-07-15 23:17:07 Trabajando..., vas 4 minutos
2025-07-15 23:18:07 Trabajando..., vas 5 minutos
2025-07-15 23:19:07 Trabajando..., vas 6 minutos
2025-07-15 23:20:07 Trabajando..., vas 7 minutos
2025-07-15 23:21:08 Trabajando..., vas 8 minutos
2025-07-15 23:22:08 Trabajando..., vas 9 minutos
2025-07-15 23:23:08 Trabajando..., vas 10 minutos
2025-07-15 23:24:08 Trabajando..., vas 11 minutos
2025-07-15 23:25:08 Trabajando..., vas 12 minutos
2025-07-15 23:26:08 Trabajando..., vas 13 minutos
2025-07-15 23:27:08 Trabajando..., vas 14 minutos
2025-07-15 23:28:08 Trabajando..., vas 15 minutos
2025-07-15 23:29:08 Trabajando..., vas 16 minutos
2025-07-15 23:30:08 Trabajando..., vas 17 minutos
2025-07-15 23:31:08 Trabajando..., vas 18 minutos
2025-07-15 23:32:08 Trabajando..., vas 19 minutos
2025-07-15 23:33:08 Trabajando..., vas 20 minutos
2025-07-15 23:34:08 Trabajando..., vas 21 minutos
2025-07-15 23:35:08 Trabajando..., vas 22 minutos
2025-07-15 23:36:08 Trabajando..., vas 23 minutos
2025-07-15 23:37:08 Trabajando..., vas 24 minutos
2025-07-15 23:38:08 ¡Hora de descansar!, vas 0 minutos
2025-07-15 23:39:08 ¡Hora de descansar!, vas 1 minutos
2025-07-15 23:40:08 ¡Hora de descansar!, vas 2 minutos
2025-07-15 23:41:08 ¡Hora de descansar!, vas 3 minutos
2025-07-15 23:42:08 ¡Hora de descansar!, vas 4 minutos
2025-07-15 23:43:08 Trabajando..., vas 0 minutos
2025-07-15 23:44:08 Trabajando..., vas 1 minutos
2025-07-15 23:45:08 Trabajando..., vas 2 minutos
2025-07-15 23:46:08 Trabajando..., vas 3 minutos
2025-07-15 23:47:08 Trabajando..., vas 4 minutos
2025-07-15 23:48:08 Trabajando..., vas 5 minutos
2025-07-15 23:49:08 Trabajando..., vas 6 minutos
2025-07-15 23:50:08 Trabajando..., vas 7 minutos
2025-07-15 23:51:08 Trabajando..., vas 8 minutos
2025-07-15 23:52:08 Trabajando..., vas 9 minutos
2025-07-15 23:53:08 Trabajando..., vas 10 minutos
2025-07-15 23:54:08 Trabajando..., vas 11 minutos
2025-07-15 23:55:08 Trabajando..., vas 12 minutos
2025-07-15 23:56:08 Trabajando..., vas 13 minutos
2025-07-15 23:57:08 Trabajando..., vas 14 minutos
2025-07-15 23:58:08 Trabajando..., vas 15 minutos
2025-07-15 23:59:08 Trabajando..., vas 16 minutos
2025-07-16 00:00:08 Trabajando..., vas 17 minutos
2025-07-16 00:01:08 Trabajando..., vas 18 minutos
2025-07-16 00:02:09 Trabajando..., vas 19 minutos
2025-07-16 00:03:09 Trabajando..., vas 20 minutos
2025-07-16 00:04:09 Trabajando..., vas 21 minutos
2025-07-16 00:05:09 Trabajando..., vas 22 minutos
2025-07-16 00:06:09 Trabajando..., vas 23 minutos
2025-07-16 00:07:09 Trabajando..., vas 24 minutos
2025-07-16 00:08:09 ¡Hora de descansar!, vas 0 minutos
2025-07-16 00:09:09 ¡Hora de descansar!, vas 1 minutos
2025-07-16 00:10:09 ¡Hora de descansar!, vas 2 minutos
2025-07-16 00:11:09 ¡Hora de descansar!, vas 3 minutos
2025-07-16 00:12:09 ¡Hora de descansar!, vas 4 minutos
2025-07-16 00:13:09 Fuera del horario laboral. Ciclo Pomodoro pausado.
2025-07-16 00:13:09 Esperando a reiniciar el trabajo..., te quedan 1126 minutos de descanso
2025-07-16 00:14:09 Esperando a reiniciar el trabajo..., te quedan 1125 minutos de descanso
2025-07-16 00:15:09 Esperando a reiniciar el trabajo..., te quedan 1124 minutos de descanso
2025-07-16 00:16:09 Esperando a reiniciar el trabajo..., te quedan 1123 minutos de descanso
2025-07-16 00:17:09 Esperando a reiniciar el trabajo..., te quedan 1122 minutos de descanso
2025-07-16 00:18:09 Esperando a reiniciar el trabajo..., te quedan 1121 minutos de descanso
2025-07-16 00:19:09 Esperando a reiniciar el trabajo..., te quedan 1120 minutos de descanso
2025-07-16 00:20:09 Esperando a reiniciar el trabajo..., te quedan 1119 minutos de descanso
2025-07-16 00:21:09 Esperando a reiniciar el trabajo..., te quedan 1118 minutos de descanso
2025-07-16 00:22:09 Esperando a reiniciar el trabajo..., te quedan 1117 minutos de descanso
2025-07-16 00:23:09 Esperando a reiniciar el trabajo..., te quedan 1116 minutos de descanso
2025-07-16 00:24:09 Esperando a reiniciar el trabajo..., te quedan 1115 minutos de descanso
2025-07-16 00:25:09 Esperando a reiniciar el trabajo..., te quedan 1114 minutos de descanso
2025-07-16 00:26:09 Esperando a reiniciar el trabajo..., te quedan 1113 minutos de descanso
2025-07-16 00:27:09 Esperando a reiniciar el trabajo..., te quedan 1112 minutos de descanso
2025-07-16 00:28:09 Esperando a reiniciar el trabajo..., te quedan 1111 minutos de descanso
2025-07-16 00:29:09 Esperando a reiniciar el trabajo..., te quedan 1110 minutos de descanso
2025-07-16 00:30:09 Esperando a reiniciar el trabajo..., te quedan 1109 minutos de descanso
2025-07-16 00:31:09 Esperando a reiniciar el trabajo..., te quedan 1108 minutos de descanso
2025-07-16 00:32:09 Esperando a reiniciar el trabajo..., te quedan 1107 minutos de descanso
2025-07-16 00:33:09 Esperando a reiniciar el trabajo..., te quedan 1106 minutos de descanso
2025-07-16 00:34:09 Esperando a reiniciar el trabajo..., te quedan 1105 minutos de descanso
2025-07-16 00:35:09 Esperando a reiniciar el trabajo..., te quedan 1104 minutos de descanso
2025-07-16 00:36:09 Esperando a reiniciar el trabajo..., te quedan 1103 minutos de descanso
2025-07-16 00:37:09 Esperando a reiniciar el trabajo..., te quedan 1102 minutos de descanso
2025-07-16 00:38:09 Esperando a reiniciar el trabajo..., te quedan 1101 minutos de descanso
2025-07-16 00:39:09 Esperando a reiniciar el trabajo..., te quedan 1100 minutos de descanso
2025-07-16 00:40:09 Esperando a reiniciar el trabajo..., te quedan 1099 minutos de descanso
2025-07-16 00:41:09 Esperando a reiniciar el trabajo..., te quedan 1098 minutos de descanso
2025-07-16 00:42:09 Esperando a reiniciar el trabajo..., te quedan 1097 minutos de descanso
2025-07-16 00:43:09 Esperando a reiniciar el trabajo..., te quedan 1096 minutos de descanso
2025-07-16 00:44:10 Esperando a reiniciar el trabajo..., te quedan 1095 minutos de descanso
2025-07-16 00:45:10 Esperando a reiniciar el trabajo..., te quedan 1094 minutos de descanso
2025-07-16 00:46:10 Esperando a reiniciar el trabajo..., te quedan 1093 minutos de descanso
2025-07-16 00:47:10 Esperando a reiniciar el trabajo..., te quedan 1092 minutos de descanso
2025-07-16 00:48:10 Esperando a reiniciar el trabajo..., te quedan 1091 minutos de descanso
2025-07-16 00:49:10 Esperando a reiniciar el trabajo..., te quedan 1090 minutos de descanso
2025-07-16 00:50:10 Esperando a reiniciar el trabajo..., te quedan 1089 minutos de descanso
2025-07-16 00:51:10 Esperando a reiniciar el trabajo..., te quedan 1088 minutos de descanso
2025-07-16 00:52:10 Esperando a reiniciar el trabajo..., te quedan 1087 minutos de descanso
2025-07-16 00:53:10 Esperando a reiniciar el trabajo..., te quedan 1086 minutos de descanso
2025-07-16 00:54:10 Esperando a reiniciar el trabajo..., te quedan 1085 minutos de descanso
2025-07-16 00:55:10 Esperando a reiniciar el trabajo..., te quedan 1084 minutos de descanso
2025-07-16 00:56:10 Esperando a reiniciar el trabajo..., te quedan 1083 minutos de descanso
2025-07-16 00:57:10 Esperando a reiniciar el trabajo..., te quedan 1082 minutos de descanso
2025-07-16 00:58:10 Esperando a reiniciar el trabajo..., te quedan 1081 minutos de descanso
2025-07-16 00:59:10 Esperando a reiniciar el trabajo..., te quedan 1080 minutos de descanso
2025-07-16 01:00:10 Esperando a reiniciar el trabajo..., te quedan 1079 minutos de descanso
2025-07-16 01:01:10 Esperando a reiniciar el trabajo..., te quedan 1078 minutos de descanso
2025-07-16 01:02:10 Esperando a reiniciar el trabajo..., te quedan 1077 minutos de descanso
2025-07-16 01:03:10 Esperando a reiniciar el trabajo..., te quedan 1076 minutos de descanso
2025-07-16 01:04:10 Esperando a reiniciar el trabajo..., te quedan 1075 minutos de descanso
2025-07-16 01:05:10 Esperando a reiniciar el trabajo..., te quedan 1074 minutos de descanso
2025-07-16 01:06:10 Esperando a reiniciar el trabajo..., te quedan 1073 minutos de descanso
2025-07-16 01:07:10 Esperando a reiniciar el trabajo..., te quedan 1072 minutos de descanso
2025-07-16 01:08:10 Esperando a reiniciar el trabajo..., te quedan 1071 minutos de descanso
2025-07-16 01:09:10 Esperando a reiniciar el trabajo..., te quedan 1070 minutos de descanso
2025-07-16 01:10:10 Esperando a reiniciar el trabajo..., te quedan 1069 minutos de descanso
2025-07-16 01:11:10 Esperando a reiniciar el trabajo..., te quedan 1068 minutos de descanso
2025-07-16 01:12:10 Esperando a reiniciar el trabajo..., te quedan 1067 minutos de descanso
2025-07-16 01:13:10 Esperando a reiniciar el trabajo..., te quedan 1066 minutos de descanso
2025-07-16 01:14:10 Esperando a reiniciar el trabajo..., te quedan 1065 minutos de descanso
2025-07-16 01:15:10 Esperando a reiniciar el trabajo..., te quedan 1064 minutos de descanso
2025-07-16 01:16:10 Esperando a reiniciar el trabajo..., te quedan 1063 minutos de descanso
2025-07-16 01:17:10 Esperando a reiniciar el trabajo..., te quedan 1062 minutos de descanso
2025-07-16 01:18:10 Esperando a reiniciar el trabajo..., te quedan 1061 minutos de descanso
2025-07-16 01:19:10 Esperando a reiniciar el trabajo..., te quedan 1060 minutos de descanso
2025-07-16 01:20:10 Esperando a reiniciar el trabajo..., te quedan 1059 minutos de descanso
2025-07-16 01:21:10 Esperando a reiniciar el trabajo..., te quedan 1058 minutos de descanso
2025-07-16 01:22:10 Esperando a reiniciar el trabajo..., te quedan 1057 minutos de descanso
2025-07-16 01:23:10 Esperando a reiniciar el trabajo..., te quedan 1056 minutos de descanso
2025-07-16 01:24:10 Esperando a reiniciar el trabajo..., te quedan 1055 minutos de descanso
2025-07-16 01:25:10 Esperando a reiniciar el trabajo..., te quedan 1054 minutos de descanso
2025-07-16 01:26:10 Esperando a reiniciar el trabajo..., te quedan 1053 minutos de descanso
2025-07-16 01:27:10 Esperando a reiniciar el trabajo..., te quedan 1052 minutos de descanso
2025-07-16 01:28:10 Esperando a reiniciar el trabajo..., te quedan 1051 minutos de descanso
2025-07-16 01:29:11 Esperando a reiniciar el trabajo..., te quedan 1050 minutos de descanso
2025-07-16 01:30:11 Esperando a reiniciar el trabajo..., te quedan 1049 minutos de descanso
2025-07-16 01:31:11 Esperando a reiniciar el trabajo..., te quedan 1048 minutos de descanso
2025-07-16 01:32:11 Esperando a reiniciar el trabajo..., te quedan 1047 minutos de descanso
2025-07-16 01:33:11 Esperando a reiniciar el trabajo..., te quedan 1046 minutos de descanso
2025-07-16 01:34:11 Esperando a reiniciar el trabajo..., te quedan 1045 minutos de descanso
2025-07-16 01:35:11 Esperando a reiniciar el trabajo..., te quedan 1044 minutos de descanso
2025-07-16 01:36:11 Esperando a reiniciar el trabajo..., te quedan 1043 minutos de descanso
2025-07-16 01:37:11 Esperando a reiniciar el trabajo..., te quedan 1042 minutos de descanso
2025-07-16 01:38:11 Esperando a reiniciar el trabajo..., te quedan 1041 minutos de descanso
2025-07-16 01:39:11 Esperando a reiniciar el trabajo..., te quedan 1040 minutos de descanso
2025-07-16 01:40:11 Esperando a reiniciar el trabajo..., te quedan 1039 minutos de descanso
2025-07-16 01:41:11 Esperando a reiniciar el trabajo..., te quedan 1038 minutos de descanso
2025-07-16 01:42:11 Esperando a reiniciar el trabajo..., te quedan 1037 minutos de descanso
2025-07-16 01:43:11 Esperando a reiniciar el trabajo..., te quedan 1036 minutos de descanso
2025-07-16 01:44:11 Esperando a reiniciar el trabajo..., te quedan 1035 minutos de descanso
2025-07-16 01:45:11 Esperando a reiniciar el trabajo..., te quedan 1034 minutos de descanso
2025-07-16 01:46:11 Esperando a reiniciar el trabajo..., te quedan 1033 minutos de descanso
2025-07-16 01:47:11 Esperando a reiniciar el trabajo..., te quedan 1032 minutos de descanso
2025-07-16 01:48:11 Esperando a reiniciar el trabajo..., te quedan 1031 minutos de descanso
2025-07-16 01:49:11 Esperando a reiniciar el trabajo..., te quedan 1030 minutos de descanso
2025-07-16 01:50:11 Esperando a reiniciar el trabajo..., te quedan 1029 minutos de descanso
2025-07-16 01:51:11 Esperando a reiniciar el trabajo..., te quedan 1028 minutos de descanso
2025-07-16 01:52:11 Esperando a reiniciar el trabajo..., te quedan 1027 minutos de descanso
2025-07-16 01:53:11 Esperando a reiniciar el trabajo..., te quedan 1026 minutos de descanso
2025-07-16 01:54:11 Esperando a reiniciar el trabajo..., te quedan 1025 minutos de descanso
2025-07-16 01:55:11 Esperando a reiniciar el trabajo..., te quedan 1024 minutos de descanso
2025-07-16 01:56:11 Esperando a reiniciar el trabajo..., te quedan 1023 minutos de descanso
2025-07-16 01:57:11 Esperando a reiniciar el trabajo..., te quedan 1022 minutos de descanso
2025-07-16 01:58:11 Esperando a reiniciar el trabajo..., te quedan 1021 minutos de descanso
2025-07-16 01:59:11 Esperando a reiniciar el trabajo..., te quedan 1020 minutos de descanso
2025-07-16 02:00:11 Esperando a reiniciar el trabajo..., te quedan 1019 minutos de descanso
2025-07-16 02:01:11 Esperando a reiniciar el trabajo..., te quedan 1018 minutos de descanso
2025-07-16 02:02:11 Esperando a reiniciar el trabajo..., te quedan 1017 minutos de descanso
2025-07-16 02:03:11 Esperando a reiniciar el trabajo..., te quedan 1016 minutos de descanso
2025-07-16 02:04:11 Esperando a reiniciar el trabajo..., te quedan 1015 minutos de descanso
2025-07-16 02:05:11 Esperando a reiniciar el trabajo..., te quedan 1014 minutos de descanso
2025-07-16 02:06:11 Esperando a reiniciar el trabajo..., te quedan 1013 minutos de descanso
2025-07-16 02:07:11 Esperando a reiniciar el trabajo..., te quedan 1012 minutos de descanso
2025-07-16 02:08:11 Esperando a reiniciar el trabajo..., te quedan 1011 minutos de descanso
2025-07-16 02:09:11 Esperando a reiniciar el trabajo..., te quedan 1010 minutos de descanso
2025-07-16 02:10:12 Esperando a reiniciar el trabajo..., te quedan 1009 minutos de descanso
2025-07-16 02:11:12 Esperando a reiniciar el trabajo..., te quedan 1008 minutos de descanso
2025-07-16 02:12:12 Esperando a reiniciar el trabajo..., te quedan 1007 minutos de descanso
2025-07-16 02:13:12 Esperando a reiniciar el trabajo..., te quedan 1006 minutos de descanso
2025-07-16 02:14:12 Esperando a reiniciar el trabajo..., te quedan 1005 minutos de descanso
2025-07-16 02:15:12 Esperando a reiniciar el trabajo..., te quedan 1004 minutos de descanso
2025-07-16 02:16:12 Esperando a reiniciar el trabajo..., te quedan 1003 minutos de descanso
2025-07-16 02:17:12 Esperando a reiniciar el trabajo..., te quedan 1002 minutos de descanso
2025-07-16 02:18:12 Esperando a reiniciar el trabajo..., te quedan 1001 minutos de descanso
2025-07-16 02:19:12 Esperando a reiniciar el trabajo..., te quedan 1000 minutos de descanso
2025-07-16 02:20:12 Esperando a reiniciar el trabajo..., te quedan 999 minutos de descanso
2025-07-16 02:21:12 Esperando a reiniciar el trabajo..., te quedan 998 minutos de descanso
2025-07-16 02:22:12 Esperando a reiniciar el trabajo..., te quedan 997 minutos de descanso
2025-07-16 02:23:12 Esperando a reiniciar el trabajo..., te quedan 996 minutos de descanso
2025-07-16 02:24:12 Esperando a reiniciar el trabajo..., te quedan 995 minutos de descanso
2025-07-16 02:25:12 Esperando a reiniciar el trabajo..., te quedan 994 minutos de descanso
2025-07-16 02:26:12 Esperando a reiniciar el trabajo..., te quedan 993 minutos de descanso
2025-07-16 02:27:12 Esperando a reiniciar el trabajo..., te quedan 992 minutos de descanso
2025-07-16 02:28:12 Esperando a reiniciar el trabajo..., te quedan 991 minutos de descanso
2025-07-16 02:29:12 Esperando a reiniciar el trabajo..., te quedan 990 minutos de descanso
2025-07-16 02:30:12 Esperando a reiniciar el trabajo..., te quedan 989 minutos de descanso
2025-07-16 02:31:12 Esperando a reiniciar el trabajo..., te quedan 988 minutos de descanso
2025-07-16 02:32:12 Esperando a reiniciar el trabajo..., te quedan 987 minutos de descanso
2025-07-16 02:33:12 Esperando a reiniciar el trabajo..., te quedan 986 minutos de descanso
2025-07-16 02:34:12 Esperando a reiniciar el trabajo..., te quedan 985 minutos de descanso
2025-07-16 02:35:12 Esperando a reiniciar el trabajo..., te quedan 984 minutos de descanso
2025-07-16 02:36:12 Esperando a reiniciar el trabajo..., te quedan 983 minutos de descanso
2025-07-16 02:37:12 Esperando a reiniciar el trabajo..., te quedan 982 minutos de descanso
2025-07-16 02:38:12 Esperando a reiniciar el trabajo..., te quedan 981 minutos de descanso
2025-07-16 02:39:12 Esperando a reiniciar el trabajo..., te quedan 980 minutos de descanso
2025-07-16 02:40:13 Esperando a reiniciar el trabajo..., te quedan 979 minutos de descanso
2025-07-16 02:41:13 Esperando a reiniciar el trabajo..., te quedan 978 minutos de descanso
2025-07-16 02:42:13 Esperando a reiniciar el trabajo..., te quedan 977 minutos de descanso
2025-07-16 02:43:13 Esperando a reiniciar el trabajo..., te quedan 976 minutos de descanso
2025-07-16 02:44:13 Esperando a reiniciar el trabajo..., te quedan 975 minutos de descanso
2025-07-16 02:45:13 Esperando a reiniciar el trabajo..., te quedan 974 minutos de descanso
2025-07-16 02:46:13 Esperando a reiniciar el trabajo..., te quedan 973 minutos de descanso
